"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_PLEITO";"DT_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"SQ_CORRESPONDENCIA_ESPERADA";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_CARGA_1_URNA_ESPERADA";"CD_CARGA_2_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"DT_RECO_URNA_ESPERADA";"SQ_CORRESPONDENCIA_EFETIVADA";"NR_URNA_EFETIVADA";"CD_CARGA_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASHCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DT_RECO_URNA_EFETIVADA";"CD_ORIGEM_VOTO";"DS_ORIGEM_VOTO";"DS_DIVERGENCIA";"NR_LOCAL_VOTACAO"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"81";"615804";"2033965";"875205543952069941665696";"875.205.543.952.069.941.";"665.696";"199CACC8";"21/09/2022 09:22";"21/09/2022 13:58";"615804";"2033965";"875205543952069941665696";"875.205.543.952.069.941.";"665.696";"199CACC8";"21/09/2022 09:22";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1015"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"83";"615805";"2035269";"339851229098730167071506";"339.851.229.098.730.167.";"071.506";"199CACC8";"21/09/2022 09:25";"21/09/2022 13:58";"615805";"2035269";"339851229098730167071506";"339.851.229.098.730.167.";"071.506";"199CACC8";"21/09/2022 09:25";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1023"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"84";"615806";"2205114";"87326083973226864585880";"087.326.083.973.226.864.";"585.880";"199CACC8";"21/09/2022 09:30";"21/09/2022 13:58";"615806";"2205114";"87326083973226864585880";"087.326.083.973.226.864.";"585.880";"199CACC8";"21/09/2022 09:30";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1023"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"85";"615807";"2024990";"713689820936999167535123";"713.689.820.936.999.167.";"535.123";"199CACC8";"21/09/2022 09:32";"21/09/2022 13:58";"615807";"2024990";"713689820936999167535123";"713.689.820.936.999.167.";"535.123";"199CACC8";"21/09/2022 09:32";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"86";"615808";"2034408";"77225299472633561330043";"077.225.299.472.633.561.";"330.043";"199CACC8";"21/09/2022 09:36";"21/09/2022 13:58";"615808";"2034408";"77225299472633561330043";"077.225.299.472.633.561.";"330.043";"199CACC8";"21/09/2022 09:36";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"87";"615809";"2035167";"36821363568264492385008";"036.821.363.568.264.492.";"385.008";"199CACC8";"21/09/2022 09:40";"21/09/2022 13:58";"615809";"2035167";"36821363568264492385008";"036.821.363.568.264.492.";"385.008";"199CACC8";"21/09/2022 09:40";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"88";"615810";"2035005";"794497232044304176690578";"794.497.232.044.304.176.";"690.578";"199CACC8";"21/09/2022 09:44";"21/09/2022 13:58";"615810";"2035005";"794497232044304176690578";"794.497.232.044.304.176.";"690.578";"199CACC8";"21/09/2022 09:44";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"119";"615811";"2203249";"339851483198125988038152";"339.851.483.198.125.988.";"038.152";"199CACC8";"21/09/2022 09:48";"21/09/2022 13:58";"615811";"2203249";"339851483198125988038152";"339.851.483.198.125.988.";"038.152";"199CACC8";"21/09/2022 09:48";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1082"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"120";"615812";"2030958";"733891961438128066399913";"733.891.961.438.128.066.";"399.913";"199CACC8";"21/09/2022 09:51";"21/09/2022 13:58";"615812";"2030958";"733891961438128066399913";"733.891.961.438.128.066.";"399.913";"199CACC8";"21/09/2022 09:51";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1090"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"121";"615813";"2034877";"683386025133284024797092";"683.386.025.133.284.024.";"797.092";"199CACC8";"21/09/2022 09:54";"21/09/2022 13:58";"615813";"2034877";"683386025133284024797092";"683.386.025.133.284.024.";"797.092";"199CACC8";"21/09/2022 09:54";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1066"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"123";"615814";"2034670";"26720580867977301276600";"026.720.580.867.977.301.";"276.600";"199CACC8";"21/09/2022 09:59";"21/09/2022 13:58";"615814";"2034670";"26720580867977301276600";"026.720.580.867.977.301.";"276.600";"199CACC8";"21/09/2022 09:59";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1074"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"125";"615815";"2035326";"956013738860110272743641";"956.013.738.860.110.272.";"743.641";"199CACC8";"21/09/2022 10:03";"21/09/2022 13:58";"615815";"2035326";"956013738860110272743641";"956.013.738.860.110.272.";"743.641";"199CACC8";"21/09/2022 10:03";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1104"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"126";"615816";"2218205";"713689604536154231539773";"713.689.604.536.154.231.";"539.773";"199CACC8";"21/09/2022 10:07";"21/09/2022 13:58";"615816";"2218205";"713689604536154231539773";"713.689.604.536.154.231.";"539.773";"199CACC8";"21/09/2022 10:07";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1139"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"130";"615817";"2218010";"350053656100608609239085";"350.053.656.100.608.609.";"239.085";"199CACC8";"21/09/2022 10:13";"21/09/2022 13:58";"615817";"2218010";"350053656100608609239085";"350.053.656.100.608.609.";"239.085";"199CACC8";"21/09/2022 10:13";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"133";"615818";"2036318";"451063085410054500108526";"451.063.085.410.054.500.";"108.526";"199CACC8";"21/09/2022 10:18";"21/09/2022 13:58";"615818";"2036318";"451063085410054500108526";"451.063.085.410.054.500.";"108.526";"199CACC8";"21/09/2022 10:18";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1112"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"134";"615819";"2030964";"158033893180429346427621";"158.033.893.180.429.346.";"427.621";"199CACC8";"21/09/2022 10:22";"21/09/2022 13:58";"615819";"2030964";"158033893180429346427621";"158.033.893.180.429.346.";"427.621";"199CACC8";"21/09/2022 10:22";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1120"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"149";"615820";"2034058";"713689078536193396194534";"713.689.078.536.193.396.";"194.534";"199CACC8";"21/09/2022 10:25";"21/09/2022 13:58";"615820";"2034058";"713689078536193396194534";"713.689.078.536.193.396.";"194.534";"199CACC8";"21/09/2022 10:25";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1023"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"152";"615821";"2216979";"552073217320247697968547";"552.073.217.320.247.697.";"968.547";"199CACC8";"21/09/2022 10:28";"21/09/2022 13:58";"615821";"2216979";"552073217320247697968547";"552.073.217.320.247.697.";"968.547";"199CACC8";"21/09/2022 10:28";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1104"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"166";"615822";"2217276";"198437367084489155322179";"198.437.367.084.489.155.";"322.179";"199CACC8";"21/09/2022 10:31";"21/09/2022 13:58";"615822";"2217276";"198437367084489155322179";"198.437.367.084.489.155.";"322.179";"199CACC8";"21/09/2022 10:31";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1082"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"176";"615823";"2031475";"713689958136213258039720";"713.689.958.136.213.258.";"039.720";"199CACC8";"21/09/2022 10:34";"21/09/2022 13:58";"615823";"2031475";"713689958136213258039720";"713.689.958.136.213.258.";"039.720";"199CACC8";"21/09/2022 10:34";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1147"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"177";"615824";"2217204";"329750678897109222764972";"329.750.678.897.109.222.";"764.972";"199CACC8";"21/09/2022 10:38";"21/09/2022 13:58";"615824";"2217204";"329750678897109222764972";"329.750.678.897.109.222.";"764.972";"199CACC8";"21/09/2022 10:38";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1155"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"213";"615825";"2203091";"299447879694672891511755";"299.447.879.694.672.891.";"511.755";"199CACC8";"21/09/2022 10:41";"21/09/2022 13:58";"615825";"2203091";"299447879694672891511755";"299.447.879.694.672.891.";"511.755";"199CACC8";"21/09/2022 10:41";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1198"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"217";"615826";"2035253";"117629130376707179512679";"117.629.130.376.707.179.";"512.679";"199CACC8";"21/09/2022 10:44";"21/09/2022 13:58";"615826";"2035253";"117629130376707179512679";"117.629.130.376.707.179.";"512.679";"199CACC8";"21/09/2022 10:44";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1201"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"219";"615827";"2203087";"309548544095106633415173";"309.548.544.095.106.633.";"415.173";"199CACC8";"21/09/2022 10:47";"21/09/2022 13:58";"615827";"2203087";"309548544095106633415173";"309.548.544.095.106.633.";"415.173";"199CACC8";"21/09/2022 10:47";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1210"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"222";"615828";"2217080";"592477135324995012784770";"592.477.135.324.995.012.";"784.770";"199CACC8";"21/09/2022 10:50";"21/09/2022 13:58";"615828";"2217080";"592477135324995012784770";"592.477.135.324.995.012.";"784.770";"199CACC8";"21/09/2022 10:50";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1201"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10006";"BRASILEIRA";"11";"245";"615829";"2203335";"642982652229259409707397";"642.982.652.229.259.409.";"707.397";"199CACC8";"21/09/2022 10:53";"21/09/2022 13:58";"615829";"2203335";"642982652229259409707397";"642.982.652.229.259.409.";"707.397";"199CACC8";"21/09/2022 10:53";"21/09/2022 13:58";"U";"Urna Eletrônica";"#NULO#";"1201"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"1";"728734";"2202981";"642285757480580408083169";"642.285.757.480.580.408.";"083.169";"8F17C8AF";"22/09/2022 15:05";"22/09/2022 20:01";"728734";"2202981";"642285757480580408083169";"642.285.757.480.580.408.";"083.169";"8F17C8AF";"22/09/2022 15:05";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"2";"728735";"2219061";"248245462340464607569097";"248.245.462.340.464.607.";"569.097";"8F17C8AF";"22/09/2022 15:09";"22/09/2022 20:01";"728735";"2219061";"248245462340464607569097";"248.245.462.340.464.607.";"569.097";"8F17C8AF";"22/09/2022 15:09";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1023"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"3";"728736";"2206215";"914912244707668806172477";"914.912.244.707.668.806.";"172.477";"8F17C8AF";"22/09/2022 15:11";"22/09/2022 20:01";"728736";"2206215";"914912244707668806172477";"914.912.244.707.668.806.";"172.477";"8F17C8AF";"22/09/2022 15:11";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1023"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"6";"728737";"2030746";"904811568806867882157066";"904.811.568.806.867.882.";"157.066";"8F17C8AF";"22/09/2022 15:14";"22/09/2022 20:01";"728737";"2030746";"904811568806867882157066";"904.811.568.806.867.882.";"157.066";"8F17C8AF";"22/09/2022 15:14";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"7";"728738";"2035460";"783699556894955361809806";"783.699.556.894.955.361.";"809.806";"8F17C8AF";"22/09/2022 15:17";"22/09/2022 20:01";"728738";"2035460";"783699556894955361809806";"783.699.556.894.955.361.";"809.806";"8F17C8AF";"22/09/2022 15:17";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"8";"728739";"2036444";"409861285356175826122914";"409.861.285.356.175.826.";"122.914";"8F17C8AF";"22/09/2022 15:20";"22/09/2022 20:01";"728739";"2036444";"409861285356175826122914";"409.861.285.356.175.826.";"122.914";"8F17C8AF";"22/09/2022 15:20";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1040"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"10";"728740";"2035257";"157336224331068261534247";"157.336.224.331.068.261.";"534.247";"8F17C8AF";"22/09/2022 15:22";"22/09/2022 20:01";"728740";"2035257";"157336224331068261534247";"157.336.224.331.068.261.";"534.247";"8F17C8AF";"22/09/2022 15:22";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1040"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"33";"728741";"2030841";"318952859147570315922213";"318.952.859.147.570.315.";"922.213";"8F17C8AF";"22/09/2022 15:27";"22/09/2022 20:01";"728741";"2030841";"318952859147570315922213";"318.952.859.147.570.315.";"922.213";"8F17C8AF";"22/09/2022 15:27";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1031"
"04/10/2022";"12:33:30";"2022";"406";"02/10/2022";"PI";"10014";"AGRICOLÂNDIA";"30";"35";"728742";"2217061";"824003586398967803122341";"824.003.586.398.967.803.";"122.341";"8F17C8AF";"22/09/2022 15:34";"22/09/2022 20:01";"728742";"2217061";"824003586398967803122341";"824.003.586.398.967.803.";"122.341";"8F17C8AF";"22/09/2022 15:34";"22/09/2022 20:01";"U";"Urna Eletrônica";"#NULO#";"1031"
