"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_PLEITO";"DT_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"SQ_CORRESPONDENCIA_ESPERADA";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_CARGA_1_URNA_ESPERADA";"CD_CARGA_2_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"DT_RECO_URNA_ESPERADA";"SQ_CORRESPONDENCIA_EFETIVADA";"NR_URNA_EFETIVADA";"CD_CARGA_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASHCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DT_RECO_URNA_EFETIVADA";"CD_ORIGEM_VOTO";"DS_ORIGEM_VOTO";"DS_DIVERGENCIA";"NR_LOCAL_VOTACAO"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29173";"KATMANDU";"1";"494";"-1";"-1";"-1";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"512859";"1295943";"329243323329673861613559";"329.243.323.329.673.861.";"613.559";"538F2F43";"14/09/2022 15:36";"14/09/2022 17:12";"C";"Sistema de apuração";"**";"1015"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29254";"ABIDJÃ";"1";"1";"-1";"-1";"-1";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"512843";"1340042";"793990791576018134225970";"793.990.791.576.018.134.";"225.970";"538F2F43";"14/09/2022 13:46";"14/09/2022 17:12";"C";"Sistema de apuração";"**";"1015"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29262";"ABU DHABI";"1";"1977";"512254";"1051740";"60717247240851664860322";"060.717.247.240.851.664.";"860.322";"CDE5CEE8";"14/09/2022 09:37";"14/09/2022 10:50";"512254";"1051740";"60717247240851664860322";"060.717.247.240.851.664.";"860.322";"CDE5CEE8";"14/09/2022 09:37";"14/09/2022 17:50";"U";"Urna Eletrônica";"#NULO#";"1015"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29262";"ABU DHABI";"1";"1978";"512255";"1018310";"121323413646746795164716";"121.323.413.646.746.795.";"164.716";"CDE5CEE8";"14/09/2022 09:52";"14/09/2022 10:50";"512255";"1018310";"121323413646746795164716";"121.323.413.646.746.795.";"164.716";"CDE5CEE8";"14/09/2022 09:52";"14/09/2022 17:50";"U";"Urna Eletrônica";"#NULO#";"1015"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29262";"ABU DHABI";"1";"1980";"512256";"1022520";"121323601846375871765180";"121.323.601.846.375.871.";"765.180";"CDE5CEE8";"14/09/2022 10:02";"14/09/2022 10:50";"512256";"1022520";"121323601846375871765180";"121.323.601.846.375.871.";"765.180";"CDE5CEE8";"14/09/2022 10:02";"14/09/2022 17:50";"U";"Urna Eletrônica";"#NULO#";"1023"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29262";"ABU DHABI";"1";"1981";"512257";"1017488";"878898465821350854749244";"878.898.465.821.350.854.";"749.244";"CDE5CEE8";"14/09/2022 10:14";"14/09/2022 10:50";"512257";"1017488";"878898465821350854749244";"878.898.465.821.350.854.";"749.244";"CDE5CEE8";"14/09/2022 10:14";"14/09/2022 17:50";"U";"Urna Eletrônica";"#NULO#";"1023"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29270";"ACCRA";"1";"3";"-1";"-1";"-1";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"512842";"1296316";"450556450742253580014266";"450.556.450.742.253.580.";"014.266";"538F2F43";"14/09/2022 13:40";"14/09/2022 17:12";"C";"Sistema de apuração";"**";"1015"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29289";"AMÃ";"1";"1931";"512193";"1034155";"705681945599147274940540";"705.681.945.599.147.274.";"940.540";"E25EFF1D";"14/09/2022 08:51";"14/09/2022 09:24";"512193";"1034155";"705681945599147274940540";"705.681.945.599.147.274.";"940.540";"E25EFF1D";"14/09/2022 08:51";"14/09/2022 15:24";"U";"Urna Eletrônica";"#NULO#";"1015"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29289";"AMÃ";"1";"1932";"512194";"1088959";"826893175011759928417557";"826.893.175.011.759.928.";"417.557";"E25EFF1D";"14/09/2022 08:58";"14/09/2022 09:24";"512194";"1088959";"826893175011759928417557";"826.893.175.011.759.928.";"417.557";"E25EFF1D";"14/09/2022 08:58";"14/09/2022 15:24";"U";"Urna Eletrônica";"#NULO#";"1015"
"04/10/2022";"12:33:39";"2022";"406";"02/10/2022";"ZZ";"29297";"ANCARA";"1";"495";"-1";"-1";"-1";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"#NULO#";"512842";"1296316";"450556450742253580014266";"450.556.450.742.253.580.";"014.266";"538F2F43";"14/09/2022 13:40";"14/09/2022 17:12";"C";"Sistema de apuração";"**";"1015"
