"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_PLEITO";"DT_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"SQ_CORRESPONDENCIA_ESPERADA";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_CARGA_1_URNA_ESPERADA";"CD_CARGA_2_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"DT_RECO_URNA_ESPERADA";"SQ_CORRESPONDENCIA_EFETIVADA";"NR_URNA_EFETIVADA";"CD_CARGA_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASHCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DT_RECO_URNA_EFETIVADA";"CD_ORIGEM_VOTO";"DS_ORIGEM_VOTO";"DS_DIVERGENCIA";"NR_LOCAL_VOTACAO"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"11";"585537";"1762090";"558299739621842541475101";"558.299.739.621.842.541.";"475.101";"30059434";"20/09/2022 11:22";"20/09/2022 17:13";"585537";"1762090";"558299739621842541475101";"558.299.739.621.842.541.";"475.101";"30059434";"20/09/2022 11:22";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1015"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"12";"585538";"1787149";"628906910328400863608540";"628.906.910.328.400.863.";"608.540";"30059434";"20/09/2022 11:29";"20/09/2022 17:13";"585538";"1787149";"628906910328400863608540";"628.906.910.328.400.863.";"608.540";"30059434";"20/09/2022 11:29";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1015"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"13";"585539";"1792455";"43148440770634810064928";"043.148.440.770.634.810.";"064.928";"30059434";"20/09/2022 11:35";"20/09/2022 17:13";"585539";"1792455";"43148440770634810064928";"043.148.440.770.634.810.";"064.928";"30059434";"20/09/2022 11:35";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1015"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"14";"585540";"2232506";"103754618294621564174531";"103.754.618.294.621.564.";"174.531";"6E8532CC";"20/09/2022 12:15";"20/09/2022 17:13";"585540";"2232506";"103754618294621564174531";"103.754.618.294.621.564.";"174.531";"6E8532CC";"20/09/2022 12:15";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1023"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"15";"585541";"2230004";"820926448366558224839796";"820.926.448.366.558.224.";"839.796";"6E8532CC";"20/09/2022 12:18";"20/09/2022 17:13";"585541";"2230004";"820926448366558224839796";"820.926.448.366.558.224.";"839.796";"6E8532CC";"20/09/2022 12:18";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1023"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"16";"585542";"2019210";"224966955706489412688264";"224.966.955.706.489.412.";"688.264";"6E8532CC";"20/09/2022 12:20";"20/09/2022 17:13";"585542";"2019210";"224966955706489412688264";"224.966.955.706.489.412.";"688.264";"6E8532CC";"20/09/2022 12:20";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1031"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"17";"585543";"2227677";"396683233823863800465589";"396.683.233.823.863.800.";"465.589";"6E8532CC";"20/09/2022 12:23";"20/09/2022 17:13";"585543";"2227677";"396683233823863800465589";"396.683.233.823.863.800.";"465.589";"6E8532CC";"20/09/2022 12:23";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1023"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"18";"585544";"2229986";"740118691458354452501900";"740.118.691.458.354.452.";"501.900";"6E8532CC";"20/09/2022 12:25";"20/09/2022 17:13";"585544";"2229986";"740118691458354452501900";"740.118.691.458.354.452.";"501.900";"6E8532CC";"20/09/2022 12:25";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1023"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"19";"585545";"2232734";"134057191497885127386949";"134.057.191.497.885.127.";"386.949";"6E8532CC";"20/09/2022 12:27";"20/09/2022 17:13";"585545";"2232734";"134057191497885127386949";"134.057.191.497.885.127.";"386.949";"6E8532CC";"20/09/2022 12:27";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1031"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"20";"585546";"2230416";"649108782248067787393628";"649.108.782.248.067.787.";"393.628";"6E8532CC";"20/09/2022 12:31";"20/09/2022 17:13";"585546";"2230416";"649108782248067787393628";"649.108.782.248.067.787.";"393.628";"6E8532CC";"20/09/2022 12:31";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1031"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"53";"585547";"1844982";"255269933991795793645289";"255.269.933.991.795.793.";"645.289";"30059434";"20/09/2022 11:43";"20/09/2022 17:13";"585547";"1844982";"255269933991795793645289";"255.269.933.991.795.793.";"645.289";"30059434";"20/09/2022 11:43";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1015"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"63";"585548";"1843504";"406784154706824630157002";"406.784.154.706.824.630.";"157.002";"30059434";"20/09/2022 11:50";"20/09/2022 17:13";"585548";"1843504";"406784154706824630157002";"406.784.154.706.824.630.";"157.002";"30059434";"20/09/2022 11:50";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1040"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"64";"585549";"2232684";"416885279025114309673898";"416.885.279.025.114.309.";"673.898";"6E8532CC";"20/09/2022 12:35";"20/09/2022 17:13";"585549";"2232684";"416885279025114309673898";"416.885.279.025.114.309.";"673.898";"6E8532CC";"20/09/2022 12:35";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1031"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"65";"585550";"1845941";"962340936662806129560871";"962.340.936.662.806.129.";"560.871";"30059434";"20/09/2022 11:56";"20/09/2022 17:13";"585550";"1845941";"962340936662806129560871";"962.340.936.662.806.129.";"560.871";"30059434";"20/09/2022 11:56";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1058"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"74";"585551";"2232854";"416885347125329357020657";"416.885.347.125.329.357.";"020.657";"6E8532CC";"20/09/2022 12:38";"20/09/2022 17:13";"585551";"2232854";"416885347125329357020657";"416.885.347.125.329.357.";"020.657";"6E8532CC";"20/09/2022 12:38";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1023"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"75";"585552";"2232701";"709714741117066869557310";"709.714.741.117.066.869.";"557.310";"1213621B";"20/09/2022 12:04";"20/09/2022 17:13";"585552";"2232701";"709714741117066869557310";"709.714.741.117.066.869.";"557.310";"1213621B";"20/09/2022 12:04";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1023"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"84";"585553";"2232606";"952239957442668039921294";"952.239.957.442.668.039.";"921.294";"1213621B";"20/09/2022 12:09";"20/09/2022 17:13";"585553";"2232606";"952239957442668039921294";"952.239.957.442.668.039.";"921.294";"1213621B";"20/09/2022 12:09";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1139"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"89";"585554";"2226323";"437087982190609401434660";"437.087.982.190.609.401.";"434.660";"1213621B";"20/09/2022 12:10";"20/09/2022 17:13";"585554";"2226323";"437087982190609401434660";"437.087.982.190.609.401.";"434.660";"1213621B";"20/09/2022 12:10";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1031"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"92";"585555";"1843039";"83552935874444357732785";"083.552.935.874.444.357.";"732.785";"30059434";"20/09/2022 12:04";"20/09/2022 17:13";"585555";"1843039";"83552935874444357732785";"083.552.935.874.444.357.";"732.785";"30059434";"20/09/2022 12:04";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1120"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"99";"585556";"2232874";"527996140499977087953832";"527.996.140.499.977.087.";"953.832";"1213621B";"20/09/2022 12:14";"20/09/2022 17:13";"585556";"2232874";"527996140499977087953832";"527.996.140.499.977.087.";"953.832";"1213621B";"20/09/2022 12:14";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1139"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"104";"585557";"2232763";"224966754769810215959300";"224.966.754.769.810.215.";"959.300";"1213621B";"20/09/2022 12:16";"20/09/2022 17:13";"585557";"2232763";"224966754769810215959300";"224.966.754.769.810.215.";"959.300";"1213621B";"20/09/2022 12:16";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1023"
"31/10/2022";"11:01:03";"2022";"407";"30/10/2022";"RR";"03000";"CAROEBE";"4";"107";"585558";"1843867";"426986286308662010811123";"426.986.286.308.662.010.";"811.123";"30059434";"20/09/2022 12:11";"20/09/2022 17:13";"585558";"1843867";"426986286308662010811123";"426.986.286.308.662.010.";"811.123";"30059434";"20/09/2022 12:11";"20/09/2022 16:13";"U";"Urna Eletrônica";"#NULO#";"1120"
